Time:512Hz,Epoch,Electrode,Attention,Meditation,Event Id,Event Date,Event Duration
0.0000000000,0,264.0000000000,60.0000000000,100.0000000000,,,
0.0019531250,0,209.0000000000,60.0000000000,100.0000000000,,,
0.0039062500,0,137.0000000000,60.0000000000,100.0000000000,,,
0.0058593750,0,120.0000000000,60.0000000000,100.0000000000,,,
0.0078125000,0,170.0000000000,60.0000000000,100.0000000000,,,
0.0097656250,0,218.0000000000,60.0000000000,100.0000000000,,,
0.0117187500,0,177.0000000000,60.0000000000,100.0000000000,,,
0.0136718750,0,89.0000000000,60.0000000000,100.0000000000,,,
0.0156250000,0,89.0000000000,60.0000000000,100.0000000000,,,
0.0175781250,0,122.0000000000,60.0000000000,100.0000000000,,,
0.0195312500,0,74.0000000000,60.0000000000,100.0000000000,,,
0.0214843750,0,-37.0000000000,60.0000000000,100.0000000000,,,
0.0234375000,0,-90.0000000000,60.0000000000,100.0000000000,,,
0.0253906250,0,-84.0000000000,60.0000000000,100.0000000000,,,
0.0273437500,0,-84.0000000000,60.0000000000,100.0000000000,,,
0.0292968750,0,-84.0000000000,60.0000000000,100.0000000000,,,
0.0312500000,0,-126.0000000000,60.0000000000,100.0000000000,,,
0.0332031250,0,-151.0000000000,60.0000000000,100.0000000000,,,
0.0351562500,0,-157.0000000000,60.0000000000,100.0000000000,,,
0.0371093750,0,-326.0000000000,60.0000000000,100.0000000000,,,
0.0390625000,0,-542.0000000000,60.0000000000,100.0000000000,,,
0.0410156250,0,-628.0000000000,60.0000000000,100.0000000000,,,
0.0429687500,0,-641.0000000000,60.0000000000,100.0000000000,,,
0.0449218750,0,-721.0000000000,60.0000000000,100.0000000000,,,
0.0468750000,0,-882.0000000000,60.0000000000,100.0000000000,,,
0.0488281250,0,-897.0000000000,60.0000000000,100.0000000000,,,
0.0507812500,0,-953.0000000000,60.0000000000,100.0000000000,,,
0.0527343750,0,-1026.0000000000,60.0000000000,100.0000000000,,,
0.0546875000,0,-1047.0000000000,60.0000000000,100.0000000000,,,
0.0566406250,0,-1046.0000000000,60.0000000000,100.0000000000,,,
0.0585937500,0,-1052.0000000000,60.0000000000,100.0000000000,,,
0.0605468750,0,-1048.0000000000,60.0000000000,100.0000000000,,,
0.0625000000,1,-1020.0000000000,60.0000000000,100.0000000000,,,
0.0644531250,1,-947.0000000000,60.0000000000,100.0000000000,,,
0.0664062500,1,-849.0000000000,60.0000000000,100.0000000000,,,
0.0683593750,1,-753.0000000000,60.0000000000,100.0000000000,,,
0.0703125000,1,-602.0000000000,60.0000000000,100.0000000000,,,
0.0722656250,1,-392.0000000000,60.0000000000,100.0000000000,,,
0.0742187500,1,-244.0000000000,60.0000000000,100.0000000000,,,
0.0761718750,1,-188.0000000000,60.0000000000,100.0000000000,,,
0.0781250000,1,-110.0000000000,60.0000000000,100.0000000000,,,
0.0800781250,1,-13.0000000000,60.0000000000,100.0000000000,,,
0.0820312500,1,24.0000000000,60.0000000000,100.0000000000,,,
0.0839843750,1,51.0000000000,60.0000000000,100.0000000000,,,
0.0859375000,1,107.0000000000,60.0000000000,100.0000000000,,,
0.0878906250,1,137.0000000000,60.0000000000,100.0000000000,,,
0.0898437500,1,125.0000000000,60.0000000000,100.0000000000,,,
0.0917968750,1,109.0000000000,60.0000000000,100.0000000000,,,
0.0937500000,1,123.0000000000,60.0000000000,100.0000000000,,,
0.0957031250,1,164.0000000000,60.0000000000,100.0000000000,,,
