Time:512Hz,Epoch,Electrode,Attention,Meditation,Event Id,Event Date,Event Duration
0.0000000000,0,11.0000000000,34.0000000000,50.0000000000,,,
0.0019531250,0,-3.0000000000,34.0000000000,50.0000000000,,,
0.0039062500,0,-19.0000000000,34.0000000000,50.0000000000,,,
0.0058593750,0,-43.0000000000,34.0000000000,50.0000000000,,,
0.0078125000,0,-66.0000000000,34.0000000000,50.0000000000,,,
0.0097656250,0,-72.0000000000,34.0000000000,50.0000000000,,,
0.0117187500,0,-66.0000000000,34.0000000000,50.0000000000,,,
0.0136718750,0,-61.0000000000,34.0000000000,50.0000000000,,,
0.0156250000,0,-87.0000000000,34.0000000000,50.0000000000,,,
0.0175781250,0,-74.0000000000,34.0000000000,50.0000000000,,,
0.0195312500,0,-45.0000000000,34.0000000000,50.0000000000,,,
0.0214843750,0,-55.0000000000,34.0000000000,50.0000000000,,,
0.0234375000,0,-84.0000000000,34.0000000000,50.0000000000,,,
0.0253906250,0,-94.0000000000,34.0000000000,50.0000000000,,,
0.0273437500,0,-72.0000000000,34.0000000000,50.0000000000,,,
0.0292968750,0,-53.0000000000,34.0000000000,50.0000000000,,,
0.0312500000,0,-61.0000000000,34.0000000000,50.0000000000,,,
0.0332031250,0,-74.0000000000,34.0000000000,50.0000000000,,,
0.0351562500,0,-69.0000000000,34.0000000000,50.0000000000,,,
0.0371093750,0,-52.0000000000,34.0000000000,50.0000000000,,,
0.0390625000,0,-37.0000000000,34.0000000000,50.0000000000,,,
0.0410156250,0,-19.0000000000,34.0000000000,50.0000000000,,,
0.0429687500,0,-6.0000000000,34.0000000000,50.0000000000,,,
0.0449218750,0,-2.0000000000,34.0000000000,50.0000000000,,,
0.0468750000,0,7.0000000000,34.0000000000,50.0000000000,,,
0.0488281250,0,7.0000000000,34.0000000000,50.0000000000,,,
0.0507812500,0,10.0000000000,34.0000000000,50.0000000000,,,
0.0527343750,0,28.0000000000,34.0000000000,50.0000000000,,,
0.0546875000,0,18.0000000000,34.0000000000,50.0000000000,,,
0.0566406250,0,-12.0000000000,34.0000000000,50.0000000000,,,
0.0585937500,0,-27.0000000000,34.0000000000,50.0000000000,,,
0.0605468750,0,-12.0000000000,34.0000000000,50.0000000000,,,
0.0625000000,1,2.0000000000,34.0000000000,50.0000000000,,,
0.0644531250,1,3.0000000000,34.0000000000,50.0000000000,,,
0.0664062500,1,-2.0000000000,34.0000000000,50.0000000000,,,
0.0683593750,1,-3.0000000000,34.0000000000,50.0000000000,,,
0.0703125000,1,10.0000000000,34.0000000000,50.0000000000,,,
0.0722656250,1,35.0000000000,34.0000000000,50.0000000000,,,
0.0742187500,1,43.0000000000,34.0000000000,50.0000000000,,,
0.0761718750,1,41.0000000000,34.0000000000,50.0000000000,,,
0.0781250000,1,39.0000000000,34.0000000000,50.0000000000,,,
0.0800781250,1,44.0000000000,34.0000000000,50.0000000000,,,
0.0820312500,1,45.0000000000,34.0000000000,50.0000000000,,,
0.0839843750,1,45.0000000000,34.0000000000,50.0000000000,,,
0.0859375000,1,49.0000000000,34.0000000000,50.0000000000,,,
0.0878906250,1,43.0000000000,34.0000000000,50.0000000000,,,
0.0898437500,1,69.0000000000,34.0000000000,50.0000000000,,,
0.0917968750,1,108.0000000000,34.0000000000,50.0000000000,,,
0.0937500000,1,119.0000000000,34.0000000000,50.0000000000,,,
0.0957031250,1,119.0000000000,34.0000000000,50.0000000000,,,
0.0976562500,1,116.0000000000,34.0000000000,50.0000000000,,,
0.0996093750,1,113.0000000000,34.0000000000,50.0000000000,,,
0.1015625000,1,124.0000000000,34.0000000000,50.0000000000,,,
0.1035156250,1,129.0000000000,34.0000000000,50.0000000000,,,
0.1054687500,1,100.0000000000,34.0000000000,50.0000000000,,,
0.1074218750,1,70.0000000000,34.0000000000,50.0000000000,,,
0.1093750000,1,64.0000000000,34.0000000000,50.0000000000,,,
0.1113281250,1,67.0000000000,34.0000000000,50.0000000000,,,
0.1132812500,1,89.0000000000,34.0000000000,50.0000000000,,,
0.1152343750,1,88.0000000000,34.0000000000,50.0000000000,,,
0.1171875000,1,69.0000000000,34.0000000000,50.0000000000,,,
0.1191406250,1,66.0000000000,34.0000000000,50.0000000000,,,
0.1210937500,1,82.0000000000,34.0000000000,50.0000000000,,,
0.1230468750,1,80.0000000000,34.0000000000,50.0000000000,,,
0.1250000000,2,41.0000000000,34.0000000000,50.0000000000,,,
0.1269531250,2,18.0000000000,34.0000000000,50.0000000000,,,
0.1289062500,2,18.0000000000,34.0000000000,50.0000000000,,,
0.1308593750,2,12.0000000000,34.0000000000,50.0000000000,,,
0.1328125000,2,5.0000000000,34.0000000000,50.0000000000,,,
0.1347656250,2,12.0000000000,34.0000000000,50.0000000000,,,
0.1367187500,2,40.0000000000,34.0000000000,50.0000000000,,,
0.1386718750,2,66.0000000000,34.0000000000,50.0000000000,,,
0.1406250000,2,98.0000000000,34.0000000000,50.0000000000,,,
0.1425781250,2,115.0000000000,34.0000000000,50.0000000000,,,
0.1445312500,2,121.0000000000,34.0000000000,50.0000000000,,,
0.1464843750,2,114.0000000000,34.0000000000,50.0000000000,,,
0.1484375000,2,107.0000000000,34.0000000000,50.0000000000,,,
0.1503906250,2,104.0000000000,34.0000000000,50.0000000000,,,
0.1523437500,2,99.0000000000,34.0000000000,50.0000000000,,,
0.1542968750,2,92.0000000000,34.0000000000,50.0000000000,,,
0.1562500000,2,86.0000000000,34.0000000000,50.0000000000,,,
0.1582031250,2,81.0000000000,34.0000000000,50.0000000000,,,
0.1601562500,2,92.0000000000,34.0000000000,50.0000000000,,,
0.1621093750,2,116.0000000000,34.0000000000,50.0000000000,,,
0.1640625000,2,118.0000000000,34.0000000000,50.0000000000,,,
0.1660156250,2,106.0000000000,34.0000000000,50.0000000000,,,
0.1679687500,2,118.0000000000,34.0000000000,50.0000000000,,,
0.1699218750,2,124.0000000000,34.0000000000,50.0000000000,,,
0.1718750000,2,115.0000000000,34.0000000000,50.0000000000,,,
0.1738281250,2,113.0000000000,34.0000000000,50.0000000000,,,
0.1757812500,2,117.0000000000,34.0000000000,50.0000000000,,,
0.1777343750,2,124.0000000000,34.0000000000,50.0000000000,,,
0.1796875000,2,119.0000000000,34.0000000000,50.0000000000,,,
0.1816406250,2,102.0000000000,34.0000000000,50.0000000000,,,
0.1835937500,2,104.0000000000,34.0000000000,50.0000000000,,,
0.1855468750,2,154.0000000000,34.0000000000,50.0000000000,,,
0.1875000000,3,200.0000000000,34.0000000000,50.0000000000,,,
0.1894531250,3,205.0000000000,34.0000000000,50.0000000000,,,
0.1914062500,3,203.0000000000,34.0000000000,50.0000000000,,,
0.1933593750,3,202.0000000000,34.0000000000,50.0000000000,,,
0.1953125000,3,201.0000000000,34.0000000000,50.0000000000,,,
0.1972656250,3,193.0000000000,34.0000000000,50.0000000000,,,
0.1992187500,3,201.0000000000,34.0000000000,50.0000000000,,,
0.2011718750,3,230.0000000000,34.0000000000,50.0000000000,,,
0.2031250000,3,245.0000000000,34.0000000000,50.0000000000,,,
0.2050781250,3,225.0000000000,34.0000000000,50.0000000000,,,
0.2070312500,3,195.0000000000,34.0000000000,50.0000000000,,,
0.2089843750,3,194.0000000000,34.0000000000,50.0000000000,,,
0.2109375000,3,188.0000000000,34.0000000000,50.0000000000,,,
0.2128906250,3,170.0000000000,34.0000000000,50.0000000000,,,
0.2148437500,3,161.0000000000,34.0000000000,50.0000000000,,,
0.2167968750,3,157.0000000000,34.0000000000,50.0000000000,,,
0.2187500000,3,156.0000000000,34.0000000000,50.0000000000,,,
0.2207031250,3,163.0000000000,34.0000000000,50.0000000000,,,
0.2226562500,3,156.0000000000,34.0000000000,50.0000000000,,,
0.2246093750,3,145.0000000000,34.0000000000,50.0000000000,,,
0.2265625000,3,133.0000000000,34.0000000000,50.0000000000,,,
0.2285156250,3,138.0000000000,34.0000000000,50.0000000000,,,
0.2304687500,3,156.0000000000,34.0000000000,50.0000000000,,,
0.2324218750,3,152.0000000000,34.0000000000,50.0000000000,,,
0.2343750000,3,148.0000000000,34.0000000000,50.0000000000,,,
0.2363281250,3,161.0000000000,34.0000000000,50.0000000000,,,
0.2382812500,3,164.0000000000,34.0000000000,50.0000000000,,,
0.2402343750,3,154.0000000000,34.0000000000,50.0000000000,,,
0.2421875000,3,146.0000000000,34.0000000000,50.0000000000,,,
0.2441406250,3,134.0000000000,34.0000000000,50.0000000000,,,
0.2460937500,3,118.0000000000,34.0000000000,50.0000000000,,,
0.2480468750,3,133.0000000000,34.0000000000,50.0000000000,,,
0.2500000000,4,172.0000000000,34.0000000000,50.0000000000,,,
0.2519531250,4,196.0000000000,34.0000000000,50.0000000000,,,
0.2539062500,4,189.0000000000,34.0000000000,50.0000000000,,,
0.2558593750,4,192.0000000000,34.0000000000,50.0000000000,,,
0.2578125000,4,182.0000000000,34.0000000000,50.0000000000,,,
0.2597656250,4,177.0000000000,34.0000000000,50.0000000000,,,
0.2617187500,4,167.0000000000,34.0000000000,50.0000000000,,,
0.2636718750,4,162.0000000000,34.0000000000,50.0000000000,,,
0.2656250000,4,162.0000000000,34.0000000000,50.0000000000,,,
0.2675781250,4,180.0000000000,34.0000000000,50.0000000000,,,
0.2695312500,4,185.0000000000,34.0000000000,50.0000000000,,,
0.2714843750,4,169.0000000000,34.0000000000,50.0000000000,,,
0.2734375000,4,185.0000000000,34.0000000000,50.0000000000,,,
0.2753906250,4,248.0000000000,34.0000000000,50.0000000000,,,
0.2773437500,4,266.0000000000,34.0000000000,50.0000000000,,,
0.2792968750,4,240.0000000000,34.0000000000,50.0000000000,,,
0.2812500000,4,208.0000000000,34.0000000000,50.0000000000,,,
0.2832031250,4,192.0000000000,34.0000000000,50.0000000000,,,
0.2851562500,4,176.0000000000,34.0000000000,50.0000000000,,,
0.2871093750,4,155.0000000000,34.0000000000,50.0000000000,,,
0.2890625000,4,154.0000000000,34.0000000000,50.0000000000,,,
0.2910156250,4,176.0000000000,34.0000000000,50.0000000000,,,
0.2929687500,4,193.0000000000,34.0000000000,50.0000000000,,,
0.2949218750,4,188.0000000000,34.0000000000,50.0000000000,,,
0.2968750000,4,180.0000000000,34.0000000000,50.0000000000,,,
0.2988281250,4,168.0000000000,34.0000000000,50.0000000000,,,
0.3007812500,4,156.0000000000,34.0000000000,50.0000000000,,,
0.3027343750,4,168.0000000000,34.0000000000,50.0000000000,,,
0.3046875000,4,210.0000000000,34.0000000000,50.0000000000,,,
0.3066406250,4,243.0000000000,34.0000000000,50.0000000000,,,
0.3085937500,4,260.0000000000,34.0000000000,50.0000000000,,,
0.3105468750,4,265.0000000000,34.0000000000,50.0000000000,,,
0.3125000000,5,261.0000000000,34.0000000000,50.0000000000,,,
0.3144531250,5,264.0000000000,34.0000000000,50.0000000000,,,
0.3164062500,5,272.0000000000,34.0000000000,50.0000000000,,,
0.3183593750,5,281.0000000000,34.0000000000,50.0000000000,,,
0.3203125000,5,290.0000000000,34.0000000000,50.0000000000,,,
0.3222656250,5,281.0000000000,34.0000000000,50.0000000000,,,
0.3242187500,5,241.0000000000,34.0000000000,50.0000000000,,,
0.3261718750,5,189.0000000000,34.0000000000,50.0000000000,,,
0.3281250000,5,200.0000000000,34.0000000000,50.0000000000,,,
0.3300781250,5,279.0000000000,34.0000000000,50.0000000000,,,
0.3320312500,5,307.0000000000,34.0000000000,50.0000000000,,,
0.3339843750,5,275.0000000000,34.0000000000,50.0000000000,,,
0.3359375000,5,237.0000000000,34.0000000000,50.0000000000,,,
0.3378906250,5,236.0000000000,34.0000000000,50.0000000000,,,
0.3398437500,5,256.0000000000,34.0000000000,50.0000000000,,,
0.3417968750,5,249.0000000000,34.0000000000,50.0000000000,,,
0.3437500000,5,210.0000000000,34.0000000000,50.0000000000,,,
0.3457031250,5,163.0000000000,34.0000000000,50.0000000000,,,
0.3476562500,5,160.0000000000,34.0000000000,50.0000000000,,,
0.3496093750,5,195.0000000000,34.0000000000,50.0000000000,,,
0.3515625000,5,211.0000000000,34.0000000000,50.0000000000,,,
0.3535156250,5,199.0000000000,34.0000000000,50.0000000000,,,
0.3554687500,5,184.0000000000,34.0000000000,50.0000000000,,,
0.3574218750,5,170.0000000000,34.0000000000,50.0000000000,,,
0.3593750000,5,141.0000000000,34.0000000000,50.0000000000,,,
0.3613281250,5,108.0000000000,34.0000000000,50.0000000000,,,
0.3632812500,5,84.0000000000,34.0000000000,50.0000000000,,,
0.3652343750,5,87.0000000000,34.0000000000,50.0000000000,,,
0.3671875000,5,102.0000000000,34.0000000000,50.0000000000,,,
0.3691406250,5,96.0000000000,34.0000000000,50.0000000000,,,
0.3710937500,5,66.0000000000,34.0000000000,50.0000000000,,,
0.3730468750,5,59.0000000000,34.0000000000,50.0000000000,,,
0.3750000000,6,84.0000000000,34.0000000000,50.0000000000,,,
0.3769531250,6,104.0000000000,34.0000000000,50.0000000000,,,
0.3789062500,6,116.0000000000,34.0000000000,50.0000000000,,,
0.3808593750,6,103.0000000000,34.0000000000,50.0000000000,,,
0.3828125000,6,66.0000000000,34.0000000000,50.0000000000,,,
0.3847656250,6,38.0000000000,34.0000000000,50.0000000000,,,
0.3867187500,6,33.0000000000,34.0000000000,50.0000000000,,,
0.3886718750,6,37.0000000000,34.0000000000,50.0000000000,,,
0.3906250000,6,40.0000000000,34.0000000000,50.0000000000,,,
0.3925781250,6,48.0000000000,34.0000000000,50.0000000000,,,
0.3945312500,6,32.0000000000,34.0000000000,50.0000000000,,,
0.3964843750,6,-5.0000000000,34.0000000000,50.0000000000,,,
0.3984375000,6,-43.0000000000,34.0000000000,50.0000000000,,,
0.4003906250,6,-54.0000000000,34.0000000000,50.0000000000,,,
0.4023437500,6,-41.0000000000,34.0000000000,50.0000000000,,,
0.4042968750,6,-34.0000000000,34.0000000000,50.0000000000,,,
0.4062500000,6,-54.0000000000,34.0000000000,50.0000000000,,,
0.4082031250,6,-90.0000000000,34.0000000000,50.0000000000,,,
0.4101562500,6,-72.0000000000,34.0000000000,50.0000000000,,,
0.4121093750,6,-57.0000000000,34.0000000000,50.0000000000,,,
0.4140625000,6,-70.0000000000,34.0000000000,50.0000000000,,,
0.4160156250,6,-86.0000000000,34.0000000000,50.0000000000,,,
0.4179687500,6,-101.0000000000,34.0000000000,50.0000000000,,,
0.4199218750,6,-98.0000000000,34.0000000000,50.0000000000,,,
0.4218750000,6,-100.0000000000,34.0000000000,50.0000000000,,,
0.4238281250,6,-100.0000000000,34.0000000000,50.0000000000,,,
0.4257812500,6,-120.0000000000,34.0000000000,50.0000000000,,,
0.4277343750,6,-148.0000000000,34.0000000000,50.0000000000,,,
0.4296875000,6,-157.0000000000,34.0000000000,50.0000000000,,,
0.4316406250,6,-154.0000000000,34.0000000000,50.0000000000,,,
0.4335937500,6,-135.0000000000,34.0000000000,50.0000000000,,,
0.4355468750,6,-142.0000000000,34.0000000000,50.0000000000,,,
0.4375000000,7,-172.0000000000,34.0000000000,50.0000000000,,,
0.4394531250,7,-199.0000000000,34.0000000000,50.0000000000,,,
0.4414062500,7,-184.0000000000,34.0000000000,50.0000000000,,,
0.4433593750,7,-170.0000000000,34.0000000000,50.0000000000,,,
0.4453125000,7,-182.0000000000,34.0000000000,50.0000000000,,,
0.4472656250,7,-172.0000000000,34.0000000000,50.0000000000,,,
0.4492187500,7,-161.0000000000,34.0000000000,50.0000000000,,,
0.4511718750,7,-162.0000000000,34.0000000000,50.0000000000,,,
0.4531250000,7,-179.0000000000,34.0000000000,50.0000000000,,,
0.4550781250,7,-200.0000000000,34.0000000000,50.0000000000,,,
0.4570312500,7,-212.0000000000,34.0000000000,50.0000000000,,,
0.4589843750,7,-213.0000000000,34.0000000000,50.0000000000,,,
0.4609375000,7,-201.0000000000,34.0000000000,50.0000000000,,,
0.4628906250,7,-200.0000000000,34.0000000000,50.0000000000,,,
0.4648437500,7,-211.0000000000,34.0000000000,50.0000000000,,,
0.4667968750,7,-214.0000000000,34.0000000000,50.0000000000,,,
0.4687500000,7,-209.0000000000,34.0000000000,50.0000000000,,,
0.4707031250,7,-201.0000000000,34.0000000000,50.0000000000,,,
0.4726562500,7,-213.0000000000,34.0000000000,50.0000000000,,,
0.4746093750,7,-229.0000000000,34.0000000000,50.0000000000,,,
0.4765625000,7,-218.0000000000,34.0000000000,50.0000000000,,,
0.4785156250,7,-194.0000000000,34.0000000000,50.0000000000,,,
0.4804687500,7,-183.0000000000,34.0000000000,50.0000000000,,,
0.4824218750,7,-185.0000000000,34.0000000000,50.0000000000,,,
0.4843750000,7,-181.0000000000,34.0000000000,50.0000000000,,,
0.4863281250,7,-154.0000000000,34.0000000000,50.0000000000,,,
0.4882812500,7,-125.0000000000,34.0000000000,50.0000000000,,,
0.4902343750,7,-130.0000000000,34.0000000000,50.0000000000,,,
0.4921875000,7,-153.0000000000,34.0000000000,50.0000000000,,,
0.4941406250,7,-163.0000000000,34.0000000000,50.0000000000,,,
0.4960937500,7,-146.0000000000,34.0000000000,50.0000000000,,,
0.4980468750,7,-126.0000000000,34.0000000000,50.0000000000,,,
0.5000000000,8,-104.0000000000,34.0000000000,50.0000000000,,,
0.5019531250,8,-90.0000000000,34.0000000000,50.0000000000,,,
0.5039062500,8,-84.0000000000,34.0000000000,50.0000000000,,,
0.5058593750,8,-78.0000000000,34.0000000000,50.0000000000,,,
0.5078125000,8,-83.0000000000,34.0000000000,50.0000000000,,,
0.5097656250,8,-85.0000000000,34.0000000000,50.0000000000,,,
0.5117187500,8,-73.0000000000,34.0000000000,50.0000000000,,,
0.5136718750,8,-74.0000000000,34.0000000000,50.0000000000,,,
0.5156250000,8,-89.0000000000,34.0000000000,50.0000000000,,,
0.5175781250,8,-71.0000000000,34.0000000000,50.0000000000,,,
0.5195312500,8,-20.0000000000,34.0000000000,50.0000000000,,,
0.5214843750,8,2.0000000000,34.0000000000,50.0000000000,,,
0.5234375000,8,0.0000000000,34.0000000000,50.0000000000,,,
0.5253906250,8,-10.0000000000,34.0000000000,50.0000000000,,,
0.5273437500,8,-27.0000000000,34.0000000000,50.0000000000,,,
0.5292968750,8,-36.0000000000,34.0000000000,50.0000000000,,,
0.5312500000,8,-51.0000000000,34.0000000000,50.0000000000,,,
0.5332031250,8,-78.0000000000,34.0000000000,50.0000000000,,,
0.5351562500,8,-99.0000000000,38.0000000000,56.0000000000,,,
0.5371093750,8,-100.0000000000,38.0000000000,56.0000000000,,,
0.5390625000,8,-88.0000000000,38.0000000000,56.0000000000,,,
0.5410156250,8,-56.0000000000,38.0000000000,56.0000000000,,,
0.5429687500,8,-25.0000000000,38.0000000000,56.0000000000,,,
0.5449218750,8,-28.0000000000,38.0000000000,56.0000000000,,,
0.5468750000,8,-40.0000000000,38.0000000000,56.0000000000,,,
0.5488281250,8,-46.0000000000,38.0000000000,56.0000000000,,,
0.5507812500,8,-50.0000000000,38.0000000000,56.0000000000,,,
0.5527343750,8,-51.0000000000,38.0000000000,56.0000000000,,,
0.5546875000,8,-50.0000000000,38.0000000000,56.0000000000,,,
0.5566406250,8,-45.0000000000,38.0000000000,56.0000000000,,,
0.5585937500,8,-50.0000000000,38.0000000000,56.0000000000,,,
0.5605468750,8,-55.0000000000,38.0000000000,56.0000000000,,,
0.5625000000,9,-74.0000000000,38.0000000000,56.0000000000,,,
0.5644531250,9,-118.0000000000,38.0000000000,56.0000000000,,,
